TITLE     = "015.02"
VARIABLES = "X"
"Y"
"Z"
"CP"
"CF"
"CFX"
"CFY"
"CFZ"
"XoC"
DATASETAUXDATA BasicAlgorithm="RANS"
DATASETAUXDATA Discretization="Finite-volume nodal scheme mixed element"
DATASETAUXDATA DistanceCalc="-999"
DATASETAUXDATA Email="tin.c.wong.civ@army.mil"
DATASETAUXDATA GridId="Cadence"
DATASETAUXDATA Institution="US Army/SRD"
DATASETAUXDATA Name="TC Wong"
DATASETAUXDATA Notes="-999"
DATASETAUXDATA Order="Second order of accuracy for all equations"
DATASETAUXDATA ParticipantID="015"
DATASETAUXDATA SolverName="FUN3D Version 14.1"
DATASETAUXDATA SubmissionDate="2024-11-22"
DATASETAUXDATA TurbulenceModel="sstv"
ZONE T="015.02 - ALPHA 1.36 - GRID 1 - WING SECTION  1"
 STRANDID=0, SOLUTIONTIME=0
 I=415, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=BLOCK
 AUXDATA Deltat="-999"
 AUXDATA GridFileName="Cadence_V1"
 AUXDATA Tstatic="28.13 deg F"
 DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE )
 2.300000000000E+02 2.298746948242E+02 2.297431182861E+02 2.296049652100E+02
 2.294598999023E+02 2.293075866699E+02 2.291476593018E+02 2.289797210693E+02
 2.288033905029E+02 2.286182403564E+02 2.284238281250E+02 2.282196807861E+02
 2.280053253174E+02 2.277802581787E+02 2.275438995361E+02 2.272957305908E+02
 2.270351409912E+02 2.267614898682E+02 2.264741516113E+02 2.261724243164E+02
 2.258555908203E+02 2.255229034424E+02 2.251735382080E+02 2.248067016602E+02
 2.244214782715E+02 2.240169525146E+02 2.235921783447E+02 2.231461334229E+02
 2.226777343750E+02 2.221858673096E+02 2.216693572998E+02 2.211269836426E+02
 2.205574493408E+02 2.199593811035E+02 2.193313446045E+02 2.186718597412E+02
 2.179793548584E+02 2.172521667480E+02 2.164885711670E+02 2.156867370605E+02
 2.148447723389E+02 2.139606628418E+02 2.130323181152E+02 2.120575103760E+02
 2.110339202881E+02 2.099591217041E+02 2.088305511475E+02 2.076455230713E+02
 2.064012145996E+02 2.050946502686E+02 2.037227020264E+02 2.022821044922E+02
 2.007693939209E+02 1.991809539795E+02 1.975129547119E+02 1.957613983154E+02
 1.939220275879E+02 1.919903869629E+02 1.899617462158E+02 1.878311309814E+02
 1.855932312012E+02 1.833263092041E+02 1.810975494385E+02 1.788932189941E+02
 1.767001037598E+02 1.745053405762E+02 1.722960357666E+02 1.700590209961E+02
 1.677805480957E+02 1.655742340088E+02 1.634713745117E+02 1.614672698975E+02
 1.595574340820E+02 1.577375793457E+02 1.560035400391E+02 1.543513793945E+02
 1.527772979736E+02 1.512776641846E+02 1.498490142822E+02 1.484880218506E+02
 1.471915130615E+02 1.459564666748E+02 1.447799835205E+02 1.436593322754E+02
 1.425918579102E+02 1.415750579834E+02 1.406065521240E+02 1.396840362549E+02
 1.388053436279E+02 1.379684143066E+02 1.371712493896E+02 1.364119720459E+02
 1.356887969971E+02 1.350000000000E+02 1.343111572266E+02 1.336222534180E+02
 1.329333190918E+02 1.322443237305E+02 1.315552825928E+02 1.308662109375E+02
 1.301770782471E+02 1.294879150391E+02 1.287987213135E+02 1.281094665527E+02
 1.274201889038E+02 1.267308731079E+02 1.260415191650E+02 1.253521347046E+02
 1.246627197266E+02 1.239732666016E+02 1.232837829590E+02 1.225942687988E+02
 1.219047317505E+02 1.212151641846E+02 1.205255737305E+02 1.198359527588E+02
 1.191463088989E+02 1.184566421509E+02 1.177669525146E+02 1.170772476196E+02
 1.163875122070E+02 1.156977615356E+02 1.150079956055E+02 1.143182067871E+02
 1.136284027100E+02 1.129385757446E+02 1.122487411499E+02 1.115588912964E+02
 1.108690261841E+02 1.101791458130E+02 1.094892578125E+02 1.087993545532E+02
 1.081094436646E+02 1.074195251465E+02 1.067295913696E+02 1.060396499634E+02
 1.053497009277E+02 1.046597442627E+02 1.039697875977E+02 1.032798156738E+02
 1.025898437500E+02 1.018998718262E+02 1.012098922729E+02 1.005199050903E+02
 9.982991790771E+01 9.913993072510E+01 9.844994354248E+01 9.775994873047E+01
 9.706996154785E+01 9.637997436523E+01 9.568998718262E+01 9.500000000000E+01
 9.431001281738E+01 9.358554077148E+01 9.282483673096E+01 9.202610778809E+01
 9.118745422363E+01 9.030687713623E+01 8.938227844238E+01 8.841146850586E+01
 8.739212799072E+01 8.632184600830E+01 8.519808197021E+01 8.401815795898E+01
 8.277928161621E+01 8.147850036621E+01 8.011273956299E+01 7.867876434326E+01
 7.717317199707E+01 7.559239196777E+01 7.393270111084E+01 7.219017028809E+01
 7.036067962646E+01 6.843992614746E+01 6.642339324951E+01 6.430634307861E+01
 6.208381271362E+01 5.978711318970E+01 5.748968124390E+01 5.519188690186E+01
 5.289409637451E+01 5.059669113159E+01 4.830006027222E+01 4.600460815430E+01
 4.371074295044E+01 4.141889572144E+01 3.912951660156E+01 3.686305999756E+01
 3.470600128174E+01 3.265318679810E+01 3.069971275330E+01 2.884091758728E+01
 2.707236671448E+01 2.538986396790E+01 2.378943061829E+01 2.226726913452E+01
 2.081978607178E+01 1.944355201721E+01 1.813530349731E+01 1.689196586609E+01
 1.571060848236E+01 1.458850383759E+01 1.352304172516E+01 1.251180076599E+01
 1.155247879028E+01 1.064293098450E+01 9.781147003174E+00 8.965251922607E+00
 8.193526268005E+00 7.464392662048E+00 6.776391983032E+00 6.128215789795E+00
 5.518689155579E+00 4.946761608124E+00 4.411502838135E+00 3.912088871002E+00
 3.447789669037E+00 3.017937421799E+00 2.621920347214E+00 2.259102344513E+00
 1.928728938103E+00 1.629969835281E+00 1.361754417419E+00 1.122808933258E+00
 9.116263985634E-01 7.265279293060E-01 5.658389329910E-01 4.279459714890E-01
 3.112803101540E-01 2.145024836063E-01 1.365213990211E-01 7.643164694309E-02
 3.379178419709E-02 8.370470255613E-03 -7.982709545468E-16 9.170820936561E-03
 3.968382254243E-02 9.636067599058E-02 1.832398623228E-01 3.024935424328E-01
 4.544178545475E-01 6.379758119583E-01 8.515434265137E-01 1.093467712402E+00
 1.362364768982E+00 1.657207965851E+00 1.977399826050E+00 2.322684288025E+00
 2.693048715591E+00 3.088758468628E+00 3.510226249695E+00 3.958070516586E+00
 4.433054447174E+00 4.936075687408E+00 5.468185424805E+00 6.030535697937E+00
 6.624455928802E+00 7.251358032227E+00 7.912850856781E+00 8.610613822937E+00
 9.346477508545E+00 1.012237358093E+01 1.094035530090E+01 1.180256462097E+01
 1.271123504639E+01 1.366867923737E+01 1.467729377747E+01 1.573959255219E+01
 1.685816764832E+01 1.803572463989E+01 1.927510070801E+01 2.057928085327E+01
 2.195140457153E+01 2.339477920532E+01 2.491290664673E+01 2.650947761536E+01
 2.818839073181E+01 2.995376586914E+01 3.180992507935E+01 3.376141357422E+01
 3.581298828125E+01 3.796961593628E+01 4.023648071289E+01 4.252704620361E+01
 4.482063674927E+01 4.711693954468E+01 4.941568756104E+01 5.171662139893E+01
 5.401951599121E+01 5.632415390015E+01 5.863033294678E+01 6.093785476685E+01
 6.324653625488E+01 6.555618286133E+01 6.786662292480E+01 7.017766571045E+01
 7.248915100098E+01 7.480089569092E+01 7.711273956299E+01 7.942453002930E+01
 8.173612213135E+01 8.404737091064E+01 8.635814666748E+01 8.866834259033E+01
 9.097784423828E+01 9.328656768799E+01 9.559444427490E+01 9.790140533447E+01
 1.002073974609E+02 1.025123825073E+02 1.048163146973E+02 1.071191711426E+02
 1.094209136963E+02 1.117215270996E+02 1.140209884644E+02 1.163192825317E+02
 1.186164093018E+02 1.209123535156E+02 1.232071304321E+02 1.255007553101E+02
 1.277932281494E+02 1.300845947266E+02 1.323748779297E+02 1.346641235352E+02
 1.369523773193E+02 1.392396850586E+02 1.415261077881E+02 1.438117218018E+02
 1.460965728760E+02 1.483807678223E+02 1.506643981934E+02 1.529475555420E+02
 1.552303619385E+02 1.575129241943E+02 1.597953948975E+02 1.620779113770E+02
 1.643606567383E+02 1.666437988281E+02 1.689275054932E+02 1.712119445801E+02
 1.734972686768E+02 1.757835998535E+02 1.780710601807E+02 1.803596801758E+02
 1.826494445801E+02 1.849402770996E+02 1.872047729492E+02 1.893631744385E+02
 1.914201812744E+02 1.933802947998E+02 1.952478637695E+02 1.970270385742E+02
 1.987218170166E+02 2.003360748291E+02 2.018735046387E+02 2.033376922607E+02
 2.047320404053E+02 2.060598449707E+02 2.073242340088E+02 2.085282135010E+02
 2.096746520996E+02 2.107663116455E+02 2.118057708740E+02 2.127955474854E+02
 2.137380065918E+02 2.146354064941E+02 2.154899139404E+02 2.163035736084E+02
 2.170783386230E+02 2.178160858154E+02 2.185185699463E+02 2.191874847412E+02
 2.198244476318E+02 2.204309692383E+02 2.210085144043E+02 2.215584716797E+02
 2.220821533203E+02 2.225808258057E+02 2.230556945801E+02 2.235078735352E+02
 2.239384613037E+02 2.243484954834E+02 2.247389526367E+02 2.251107635498E+02
 2.254648284912E+02 2.258020019531E+02 2.261230773926E+02 2.264288177490E+02
 2.267199707031E+02 2.269972381592E+02 2.272612609863E+02 2.275126953125E+02
 2.277521362305E+02 2.279801483154E+02 2.281972808838E+02 2.284040527344E+02
 2.286009521484E+02 2.287884674072E+02 2.289670257568E+02 2.291370849609E+02
 2.292990112305E+02 2.294532318115E+02 2.296000823975E+02 2.297399444580E+02
 2.298731536865E+02 2.300000000000E+02 2.300000000000E+02 2.300000000000E+02
 2.300000000000E+02 2.300000000000E+02 2.300000000000E+02 2.300000000000E+02
 2.300000000000E+02 2.300000000000E+02 2.300000000000E+02
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01 -1.150000000000E+01
