 
TITLE = "012.01"
# Column       1     2     3     4       5    6     7     8    9 
VARIABLES = "GRID_LEVEL"  "GRID_SIZE"  "GRID_FAC"  "MACH"  "REY"  "ALPHA"   "CL_TOT"    "CD_TOT"     "CM_TOT" 
 
#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "012"
DATASETAUXDATA SubmissionDate  = "05/05/2026"
DATASETAUXDATA Name            = "Bret Stanford"
DATASETAUXDATA Email           = "bret.k.stanford@nasa.gov"
DATASETAUXDATA Institution     = "NASA Langley Research Center - Aeroelasticity Branch"
DATASETAUXDATA SolverName      = "FUN3D SFE"
DATASETAUXDATA BasicAlgorithm  = "RANS"
DATASETAUXDATA TurbulenceModel = "SA-neg"
DATASETAUXDATA GridId          = "unstructured"
DATASETAUXDATA FEMSolverName   = "NASTRAN"
DATASETAUXDATA FEMAnalysisType = "Modal"
DATASETAUXDATA Notes           = "FUN3D coupled to a modal structure"
             
ZONE T="012.01 - GRID LEVEL 3"
AUXDATA Tstatic         = "322.04K"
AUXDATA Deltat          = "-999"
AUXDATA GridFileName    = "boo.x"
3 68026429 6.0009e-06 0.8500  5000000.00 -1.50000000 -0.00962797 0.01592523 -0.050126306
ZONE T="012.01 - GRID LEVEL 3"
AUXDATA Tstatic         = "322.04K"
AUXDATA Deltat          = "-999"
AUXDATA GridFileName    = "boo.x"
3 68026429 6.0009e-06 0.8500  5000000.00 0.00000000 0.17987298 0.01634882 -0.069831353
ZONE T="012.01 - GRID LEVEL 3"
AUXDATA Tstatic         = "322.04K"
AUXDATA Deltat          = "-999"
AUXDATA GridFileName    = "boo.x"
3 68026429 6.0009e-06 0.8500  5000000.00 1.50000000 0.36582868 0.02032592 -0.081890679
ZONE T="012.01 - GRID LEVEL 3"
AUXDATA Tstatic         = "322.04K"
AUXDATA Deltat          = "-999"
AUXDATA GridFileName    = "boo.x"
3 68026429 6.0009e-06 0.8500  5000000.00 2.50000000 0.50060958 0.02574105 -0.090771849
ZONE T="012.01 - GRID LEVEL 3"
AUXDATA Tstatic         = "322.04K"
AUXDATA Deltat          = "-999"
AUXDATA GridFileName    = "boo.x"
3 68026429 6.0009e-06 0.8500  5000000.00 3.00000000 0.56832040 0.03044221 -0.097340095
ZONE T="012.01 - GRID LEVEL 3"
AUXDATA Tstatic         = "322.04K"
AUXDATA Deltat          = "-999"
AUXDATA GridFileName    = "boo.x"
3 68026429 6.0009e-06 0.8500  5000000.00 3.50000000 0.62306124 0.03691273 -0.097104777
ZONE T="012.01 - GRID LEVEL 3"
AUXDATA Tstatic         = "322.04K"
AUXDATA Deltat          = "-999"
AUXDATA GridFileName    = "boo.x"
3 68026429 6.0009e-06 0.8500  5000000.00 4.00000000 0.66231875 0.04487493 -0.087268041
ZONE T="012.01 - GRID LEVEL 3"
AUXDATA Tstatic         = "322.04K"
AUXDATA Deltat          = "-999"
AUXDATA GridFileName    = "boo.x"
3 68026429 6.0009e-06 0.8500  5000000.00 4.50000000 0.69631955 0.05368933 -0.075262797
